Project_ID,Project_Name,Location,Energy_Generated_kWh,Weather_Score,Grid_Emission_Factor,CO2_Reduced_tons
HYDRO0014,Hydro Station Pune 14,Pune,6353,0.79,0.82,5.18
HYDRO0015,Hydro Station Kolhapur 15,Kolhapur,9593,0.77,0.84,8.09
WIND0025,Wind Farm Sindhudurg 25,Sindhudurg,9688,0.66,0.79,7.61
HYDRO0016,Hydro Station Aurangabad 16,Aurangabad,6688,0.76,0.83,5.57
SOL0047,Solar Project Pune 47,Pune,10716,0.83,0.88,9.38
SOL0048,Solar Project Nanded 48,Nanded,9784,0.84,0.81,7.89
WIND0026,Wind Farm Nashik 26,Nashik,15537,0.76,0.79,12.33
WIND0027,Wind Farm Nashik 27,Nashik,13656,0.78,0.8,10.87
WIND0028,Wind Farm Nashik 28,Nashik,12487,0.77,0.84,10.53
HYDRO0017,Hydro Station Nashik 17,Nashik,11130,0.77,0.81,9.03
SOL0049,Solar Project Amravati 49,Amravati,9120,0.83,0.81,7.43
SOL0050,Solar Project Kolhapur 50,Kolhapur,11121,0.86,0.8,8.94
FOR0009,Afforestation Mumbai 9,Mumbai,0,0.72,0.7,12.54
SOL0051,Solar Project Solapur 51,Solapur,4926,0.93,0.8,3.96
WIND0029,Wind Farm Satara 29,Satara,12493,0.81,0.83,10.31
WIND0030,Wind Farm Mumbai 30,Mumbai,10332,0.71,0.8,8.3
FOR0010,Afforestation Nashik 10,Nashik,0,0.72,0.7,11.08
SOL0052,Solar Project Aurangabad 52,Aurangabad,10687,0.8,0.8,8.51
FOR0011,Afforestation Thane 11,Thane,0,0.66,0.7,10.78
SOL0053,Solar Project Solapur 53,Solapur,7249,0.84,0.79,5.73
WIND0031,Wind Farm Kolhapur 31,Kolhapur,11763,0.8,0.77,9.1
SOL0054,Solar Project Thane 54,Thane,8353,0.77,0.84,7.05
SOL0055,Solar Project Kolhapur 55,Kolhapur,6015,0.89,0.84,5.05
SOL0056,Solar Project Amravati 56,Amravati,9284,0.9,0.8,7.46
HYDRO0018,Hydro Station Pune 18,Pune,7355,0.68,0.84,6.16
FOR0012,Afforestation Ratnagiri 12,Ratnagiri,0,0.67,0.7,11.01
HYDRO0019,Hydro Station Nagpur 19,Nagpur,13004,0.81,0.82,10.61
FOR0013,Afforestation Pune 13,Pune,0,0.65,0.7,9.52
SOL0057,Solar Project Mumbai 57,Mumbai,7442,0.89,0.79,5.86
WIND0032,Wind Farm Kolhapur 32,Kolhapur,12498,0.73,0.84,10.44
SOL0058,Solar Project Pune 58,Pune,8817,0.95,0.85,7.45
BIO0009,BioEnergy Sangli 9,Sangli,3724,0.96,0.89,3.31
WIND0033,Wind Farm Sindhudurg 33,Sindhudurg,11915,0.76,0.83,9.84
FOR0014,Afforestation Pune 14,Pune,0,0.63,0.7,11.83
SOL0059,Solar Project Aurangabad 59,Aurangabad,8726,0.89,0.81,7.05
SOL0060,Solar Project Latur 60,Latur,5593,0.85,0.82,4.57
WIND0034,Wind Farm Sindhudurg 34,Sindhudurg,12451,0.64,0.85,10.59
WIND0035,Wind Farm Ahmednagar 35,Ahmednagar,11138,0.78,0.79,8.85
BIO0010,BioEnergy Jalgaon 10,Jalgaon,6408,0.85,0.87,5.58
SOL0061,Solar Project Kolhapur 61,Kolhapur,7994,0.9,0.81,6.44
WIND0036,Wind Farm Nashik 36,Nashik,12385,0.68,0.81,9.98
SOL0062,Solar Project Latur 62,Latur,8796,0.85,0.82,7.22
SOL0063,Solar Project Nanded 63,Nanded,11409,0.89,0.8,9.1
HYDRO0020,Hydro Station Kolhapur 20,Kolhapur,9544,0.76,0.81,7.72
HYDRO0021,Hydro Station Aurangabad 21,Aurangabad,9604,0.82,0.81,7.73
SOL0064,Solar Project Amravati 64,Amravati,9800,0.81,0.82,8.03
SOL0065,Solar Project Nashik 65,Nashik,10302,0.93,0.76,7.84
SOL0066,Solar Project Thane 66,Thane,7458,0.88,0.83,6.22
SOL0067,Solar Project Solapur 67,Solapur,9447,0.81,0.79,7.43
WIND0037,Wind Farm Sindhudurg 37,Sindhudurg,12053,0.86,0.84,10.14
WIND0038,Wind Farm Kolhapur 38,Kolhapur,13333,0.7,0.81,10.75
SOL0068,Solar Project Aurangabad 68,Aurangabad,9452,0.89,0.81,7.65
SOL0069,Solar Project Thane 69,Thane,5724,0.83,0.81,4.61
SOL0070,Solar Project Nagpur 70,Nagpur,11378,0.85,0.81,9.26
FOR0015,Afforestation Thane 15,Thane,0,0.74,0.7,11.18
HYDRO0022,Hydro Station Aurangabad 22,Aurangabad,9682,0.78,0.78,7.52
HYDRO0023,Hydro Station Aurangabad 23,Aurangabad,10496,0.78,0.79,8.33
WIND0039,Wind Farm Solapur 39,Solapur,10214,0.79,0.79,8.04
WIND0040,Wind Farm Sindhudurg 40,Sindhudurg,12902,0.74,0.8,10.35
SOL0071,Solar Project Nagpur 71,Nagpur,6200,0.86,0.8,4.95
SOL0072,Solar Project Thane 72,Thane,9522,0.88,0.84,7.99
WIND0041,Wind Farm Pune 41,Pune,12180,0.76,0.82,9.98
SOL0073,Solar Project Satara 73,Satara,10288,0.86,0.81,8.35
SOL0074,Solar Project Kolhapur 74,Kolhapur,9367,0.87,0.82,7.69
HYDRO0024,Hydro Station Nagpur 24,Nagpur,10777,0.77,0.8,8.64
HYDRO0025,Hydro Station Pune 25,Pune,8998,0.77,0.84,7.6
WIND0042,Wind Farm Kolhapur 42,Kolhapur,13737,0.72,0.77,10.51
SOL0075,Solar Project Nagpur 75,Nagpur,12996,0.77,0.79,10.21
WIND0043,Wind Farm Nashik 43,Nashik,10080,0.76,0.83,8.32
SOL0076,Solar Project Aurangabad 76,Aurangabad,11429,0.81,0.79,9.06
BIO0011,BioEnergy Sangli 11,Sangli,5015,0.91,0.86,4.32
HYDRO0026,Hydro Station Aurangabad 26,Aurangabad,11018,0.79,0.8,8.82
SOL0077,Solar Project Nashik 77,Nashik,9776,0.87,0.82,7.98
SOL0078,Solar Project Aurangabad 78,Aurangabad,4510,0.88,0.86,3.86
WIND0044,Wind Farm Kolhapur 44,Kolhapur,11100,0.73,0.8,8.87
HYDRO0027,Hydro Station Pune 27,Pune,9550,0.74,0.84,8.06
WIND0045,Wind Farm Satara 45,Satara,13276,0.66,0.84,11.15
WIND0046,Wind Farm Kolhapur 46,Kolhapur,16169,0.76,0.81,13.13
HYDRO0028,Hydro Station Kolhapur 28,Kolhapur,10831,0.72,0.82,8.88
WIND0047,Wind Farm Mumbai 47,Mumbai,14890,0.72,0.79,11.77
FOR0016,Afforestation Thane 16,Thane,0,0.69,0.7,9.92
SOL0079,Solar Project Aurangabad 79,Aurangabad,14077,0.88,0.8,11.24
SOL0080,Solar Project Mumbai 80,Mumbai,8733,0.87,0.84,7.3
SOL0081,Solar Project Mumbai 81,Mumbai,10646,0.85,0.78,8.35
HYDRO0029,Hydro Station Satara 29,Satara,7126,0.73,0.81,5.78
FOR0017,Afforestation Thane 17,Thane,0,0.7,0.7,11.71
SOL0082,Solar Project Nanded 82,Nanded,8686,0.8,0.82,7.13
FOR0018,Afforestation Kolhapur 18,Kolhapur,0,0.74,0.7,8.49
SOL0083,Solar Project Nagpur 83,Nagpur,9298,0.92,0.8,7.47
SOL0084,Solar Project Pune 84,Pune,8934,0.82,0.8,7.11
HYDRO0030,Hydro Station Pune 30,Pune,9695,0.64,0.83,8.06
SOL0085,Solar Project Aurangabad 85,Aurangabad,8287,0.86,0.8,6.62
HYDRO0031,Hydro Station Pune 31,Pune,9094,0.78,0.78,7.12
SOL0086,Solar Project Nagpur 86,Nagpur,8486,0.9,0.78,6.6
SOL0087,Solar Project Amravati 87,Amravati,9682,0.85,0.81,7.82
SOL0088,Solar Project Pune 88,Pune,12433,0.87,0.83,10.38
FOR0019,Afforestation Nashik 19,Nashik,0,0.72,0.7,11.42
SOL0089,Solar Project Nashik 89,Nashik,9652,0.79,0.83,8.0
BIO0012,BioEnergy Kolhapur 12,Kolhapur,4178,0.91,0.85,3.55
SOL0090,Solar Project Nagpur 90,Nagpur,10513,0.78,0.83,8.78
SOL0091,Solar Project Solapur 91,Solapur,4660,0.83,0.82,3.8
WIND0048,Wind Farm Pune 48,Pune,11996,0.82,0.85,10.23
SOL0092,Solar Project Aurangabad 92,Aurangabad,10345,0.8,0.85,8.76
SOL0093,Solar Project Nashik 93,Nashik,5741,0.88,0.85,4.88
BIO0013,BioEnergy Nashik 13,Nashik,5261,0.93,0.89,4.69
HYDRO0032,Hydro Station Pune 32,Pune,9210,0.78,0.82,7.53
SOL0094,Solar Project Solapur 94,Solapur,4261,0.86,0.81,3.43
SOL0095,Solar Project Nanded 95,Nanded,7154,0.78,0.79,5.66
WIND0049,Wind Farm Ratnagiri 49,Ratnagiri,14080,0.78,0.81,11.37
SOL0096,Solar Project Amravati 96,Amravati,10215,0.77,0.81,8.27
WIND0050,Wind Farm Ratnagiri 50,Ratnagiri,11512,0.73,0.86,9.85
SOL0097,Solar Project Amravati 97,Amravati,8930,0.94,0.8,7.12
SOL0098,Solar Project Kolhapur 98,Kolhapur,12625,0.83,0.8,10.06
BIO0014,BioEnergy Sangli 14,Sangli,2817,0.87,0.88,2.48
HYDRO0033,Hydro Station Kolhapur 33,Kolhapur,9719,0.78,0.83,8.05
WIND0051,Wind Farm Kolhapur 51,Kolhapur,12395,0.67,0.82,10.15
SOL0099,Solar Project Satara 99,Satara,9415,0.75,0.8,7.57
SOL0100,Solar Project Nagpur 100,Nagpur,9893,0.84,0.83,8.24
BIO0015,BioEnergy Pune 15,Pune,4304,0.95,0.87,3.73
HYDRO0034,Hydro Station Nagpur 34,Nagpur,7931,0.86,0.81,6.44
SOL0101,Solar Project Nagpur 101,Nagpur,11027,0.84,0.8,8.83
WIND0052,Wind Farm Ahmednagar 52,Ahmednagar,14048,0.68,0.82,11.45
SOL0102,Solar Project Nagpur 102,Nagpur,10779,0.86,0.81,8.73
SOL0103,Solar Project Nashik 103,Nashik,7965,0.92,0.86,6.82
BIO0016,BioEnergy Sangli 16,Sangli,3965,0.87,0.89,3.53
SOL0104,Solar Project Satara 104,Satara,5277,0.84,0.82,4.32
WIND0053,Wind Farm Solapur 53,Solapur,13616,0.74,0.79,10.79
SOL0105,Solar Project Nanded 105,Nanded,8669,0.81,0.86,7.42
SOL0106,Solar Project Mumbai 106,Mumbai,7672,0.84,0.8,6.11
BIO0017,BioEnergy Nashik 17,Nashik,4246,0.86,0.87,3.69
WIND0054,Wind Farm Pune 54,Pune,13262,0.82,0.8,10.59
HYDRO0035,Hydro Station Nagpur 35,Nagpur,8488,0.78,0.81,6.91
WIND0055,Wind Farm Nashik 55,Nashik,10226,0.72,0.8,8.2
BIO0018,BioEnergy Sangli 18,Sangli,5008,0.87,0.84,4.22
SOL0107,Solar Project Aurangabad 107,Aurangabad,10950,0.89,0.79,8.66
WIND0056,Wind Farm Ahmednagar 56,Ahmednagar,13861,0.75,0.85,11.74
WIND0057,Wind Farm Solapur 57,Solapur,13731,0.76,0.82,11.21
HYDRO0036,Hydro Station Satara 36,Satara,9012,0.74,0.79,7.09
FOR0020,Afforestation Nashik 20,Nashik,0,0.67,0.7,11.47
SOL0108,Solar Project Nanded 108,Nanded,8917,0.88,0.8,7.13
FOR0021,Afforestation Pune 21,Pune,0,0.73,0.7,11.1
WIND0058,Wind Farm Pune 58,Pune,13479,0.66,0.8,10.84
SOL0109,Solar Project Kolhapur 109,Kolhapur,7236,0.83,0.8,5.76
SOL0110,Solar Project Thane 110,Thane,8809,0.86,0.82,7.24
SOL0111,Solar Project Mumbai 111,Mumbai,9373,0.88,0.8,7.48
FOR0022,Afforestation Kolhapur 22,Kolhapur,0,0.73,0.7,9.46
SOL0112,Solar Project Nashik 112,Nashik,8917,0.87,0.8,7.13
SOL0113,Solar Project Nanded 113,Nanded,8102,0.91,0.8,6.47
SOL0114,Solar Project Nashik 114,Nashik,10462,0.78,0.77,8.01
SOL0115,Solar Project Nagpur 115,Nagpur,7915,0.89,0.82,6.48
SOL0116,Solar Project Nanded 116,Nanded,10156,0.84,0.79,7.99
FOR0023,Afforestation Mumbai 23,Mumbai,0,0.65,0.7,11.85
SOL0117,Solar Project Kolhapur 117,Kolhapur,8587,0.85,0.81,6.92
SOL0118,Solar Project Solapur 118,Solapur,10011,0.85,0.82,8.16
HYDRO0037,Hydro Station Nagpur 37,Nagpur,9078,0.77,0.82,7.46
WIND0059,Wind Farm Nashik 59,Nashik,12258,0.68,0.78,9.58
WIND0060,Wind Farm Mumbai 60,Mumbai,13409,0.77,0.79,10.59
SOL0119,Solar Project Nashik 119,Nashik,7731,0.9,0.8,6.22
SOL0120,Solar Project Nashik 120,Nashik,8949,0.97,0.8,7.16
SOL0121,Solar Project Thane 121,Thane,9744,0.87,0.81,7.89
SOL0122,Solar Project Pune 122,Pune,7858,0.86,0.79,6.22
SOL0123,Solar Project Aurangabad 123,Aurangabad,12007,0.89,0.81,9.67
SOL0124,Solar Project Nashik 124,Nashik,9054,0.9,0.81,7.35
SOL0125,Solar Project Mumbai 125,Mumbai,6229,0.79,0.83,5.16
SOL0126,Solar Project Solapur 126,Solapur,10105,0.86,0.79,8.02
HYDRO0038,Hydro Station Aurangabad 38,Aurangabad,12620,0.81,0.78,9.84
FOR0024,Afforestation Pune 24,Pune,0,0.73,0.7,11.34
WIND0061,Wind Farm Pune 61,Pune,13477,0.85,0.84,11.28
WIND0062,Wind Farm Mumbai 62,Mumbai,13196,0.74,0.79,10.37
HYDRO0039,Hydro Station Nashik 39,Nashik,8306,0.73,0.8,6.67
FOR0025,Afforestation Nashik 25,Nashik,0,0.72,0.7,11.06
SOL0127,Solar Project Kolhapur 127,Kolhapur,6378,0.91,0.8,5.1
SOL0128,Solar Project Kolhapur 128,Kolhapur,15000,0.82,0.81,12.21
SOL0129,Solar Project Pune 129,Pune,8327,0.87,0.81,6.73
BIO0019,BioEnergy Nashik 19,Nashik,5003,0.84,0.83,4.16
FOR0026,Afforestation Pune 26,Pune,0,0.71,0.7,13.03
WIND0063,Wind Farm Ratnagiri 63,Ratnagiri,11812,0.82,0.82,9.67
HYDRO0040,Hydro Station Nagpur 40,Nagpur,10968,0.76,0.82,9.0
WIND0064,Wind Farm Solapur 64,Solapur,10619,0.77,0.8,8.46
FOR0027,Afforestation Pune 27,Pune,0,0.71,0.7,8.02
BIO0020,BioEnergy Sangli 20,Sangli,4339,0.86,0.87,3.76
HYDRO0041,Hydro Station Satara 41,Satara,7126,0.8,0.8,5.71
FOR0028,Afforestation Ratnagiri 28,Ratnagiri,0,0.71,0.7,11.99
SOL0130,Solar Project Latur 130,Latur,7226,0.87,0.85,6.17
FOR0029,Afforestation Kolhapur 29,Kolhapur,0,0.65,0.7,9.98
SOL0131,Solar Project Satara 131,Satara,10008,0.74,0.82,8.25
SOL0132,Solar Project Aurangabad 132,Aurangabad,10941,0.84,0.81,8.82
SOL0133,Solar Project Nashik 133,Nashik,8357,0.83,0.81,6.79
SOL0134,Solar Project Satara 134,Satara,8045,0.84,0.82,6.59
WIND0065,Wind Farm Satara 65,Satara,13874,0.77,0.83,11.51
WIND0066,Wind Farm Ahmednagar 66,Ahmednagar,8156,0.81,0.79,6.44
SOL0135,Solar Project Nagpur 135,Nagpur,8211,0.83,0.8,6.53
SOL0136,Solar Project Aurangabad 136,Aurangabad,9968,0.89,0.79,7.83
FOR0030,Afforestation Ratnagiri 30,Ratnagiri,0,0.7,0.7,11.94
WIND0067,Wind Farm Kolhapur 67,Kolhapur,12961,0.78,0.81,10.53
BIO0021,BioEnergy Nashik 21,Nashik,2179,0.91,0.87,1.89
SOL0137,Solar Project Pune 137,Pune,6777,0.9,0.8,5.46
HYDRO0042,Hydro Station Kolhapur 42,Kolhapur,8392,0.74,0.83,7.0
FOR0031,Afforestation Ratnagiri 31,Ratnagiri,0,0.73,0.7,11.55
HYDRO0043,Hydro Station Nagpur 43,Nagpur,8914,0.79,0.83,7.39
SOL0138,Solar Project Pune 138,Pune,6330,0.79,0.78,4.92
HYDRO0044,Hydro Station Nashik 44,Nashik,13556,0.79,0.77,10.4
SOL0139,Solar Project Nanded 139,Nanded,12537,0.93,0.83,10.41
WIND0068,Wind Farm Mumbai 68,Mumbai,13973,0.73,0.76,10.62
SOL0140,Solar Project Latur 140,Latur,13582,0.77,0.81,11.05
WIND0069,Wind Farm Pune 69,Pune,13392,0.79,0.83,11.05
SOL0141,Solar Project Nanded 141,Nanded,9562,0.79,0.8,7.65
WIND0070,Wind Farm Sindhudurg 70,Sindhudurg,12449,0.7,0.79,9.87
SOL0142,Solar Project Solapur 142,Solapur,7031,0.75,0.82,5.75
WIND0071,Wind Farm Ratnagiri 71,Ratnagiri,12974,0.75,0.81,10.53
SOL0143,Solar Project Solapur 143,Solapur,11629,0.86,0.78,9.11
HYDRO0045,Hydro Station Satara 45,Satara,6580,0.77,0.81,5.33
BIO0022,BioEnergy Sangli 22,Sangli,5063,0.89,0.81,4.12
SOL0144,Solar Project Nagpur 144,Nagpur,9495,0.96,0.84,7.94
WIND0072,Wind Farm Kolhapur 72,Kolhapur,13133,0.81,0.8,10.56
FOR0032,Afforestation Kolhapur 32,Kolhapur,0,0.73,0.7,11.7
SOL0145,Solar Project Latur 145,Latur,7879,0.88,0.82,6.49
SOL0146,Solar Project Nagpur 146,Nagpur,6625,0.87,0.82,5.45
SOL0147,Solar Project Pune 147,Pune,9828,0.82,0.79,7.78
SOL0148,Solar Project Nagpur 148,Nagpur,5926,0.86,0.84,4.97
WIND0073,Wind Farm Ratnagiri 73,Ratnagiri,9972,0.78,0.78,7.77
HYDRO0046,Hydro Station Pune 46,Pune,12576,0.73,0.82,10.33
SOL0149,Solar Project Mumbai 149,Mumbai,12257,0.82,0.79,9.68
SOL0150,Solar Project Thane 150,Thane,6955,0.95,0.82,5.7
SOL0151,Solar Project Satara 151,Satara,10931,0.88,0.78,8.51
HYDRO0047,Hydro Station Nashik 47,Nashik,7350,0.7,0.82,6.06
HYDRO0048,Hydro Station Aurangabad 48,Aurangabad,13069,0.78,0.77,10.12
SOL0152,Solar Project Satara 152,Satara,10078,0.8,0.81,8.2
SOL0153,Solar Project Thane 153,Thane,6173,0.73,0.8,4.94
SOL0154,Solar Project Kolhapur 154,Kolhapur,9146,0.89,0.81,7.42
WIND0074,Wind Farm Ratnagiri 74,Ratnagiri,14341,0.77,0.82,11.71
WIND0075,Wind Farm Ahmednagar 75,Ahmednagar,12064,0.73,0.79,9.49
SOL0155,Solar Project Thane 155,Thane,5924,0.76,0.82,4.86
SOL0156,Solar Project Nagpur 156,Nagpur,9898,0.82,0.84,8.35
SOL0157,Solar Project Solapur 157,Solapur,12786,0.83,0.83,10.65
BIO0023,BioEnergy Jalgaon 23,Jalgaon,3598,0.91,0.86,3.08
SOL0158,Solar Project Nashik 158,Nashik,7489,0.89,0.81,6.08
WIND0076,Wind Farm Ahmednagar 76,Ahmednagar,13869,0.67,0.8,11.09
FOR0033,Afforestation Thane 33,Thane,0,0.74,0.7,9.01
SOL0159,Solar Project Nashik 159,Nashik,5837,0.85,0.81,4.76
FOR0034,Afforestation Nashik 34,Nashik,0,0.66,0.7,10.28
WIND0077,Wind Farm Ratnagiri 77,Ratnagiri,11050,0.77,0.8,8.8
FOR0035,Afforestation Mumbai 35,Mumbai,0,0.7,0.7,11.82
SOL0160,Solar Project Thane 160,Thane,7773,0.83,0.8,6.24
WIND0078,Wind Farm Pune 78,Pune,12756,0.71,0.8,10.14
SOL0161,Solar Project Mumbai 161,Mumbai,10901,0.87,0.83,9.02
SOL0162,Solar Project Kolhapur 162,Kolhapur,10347,0.79,0.77,8.01
BIO0024,BioEnergy Nashik 24,Nashik,4902,0.88,0.85,4.16
SOL0163,Solar Project Aurangabad 163,Aurangabad,8221,0.89,0.79,6.53
SOL0164,Solar Project Nagpur 164,Nagpur,5935,0.9,0.82,4.86
SOL0165,Solar Project Satara 165,Satara,11152,0.85,0.82,9.16
